rep,host,t,delay_sec
0,0,5000.0,
0,0,6000.0,
0,0,7000.0,
0,0,8000.0,
0,0,9000.0,0.016504072368
0,0,10000.0,0.016504072368
0,0,11000.0,0.016504072368
0,0,12000.0,0.007974650713
0,0,13000.0,0.007974650713
0,0,14000.0,0.007974650713
0,0,15000.0,
0,0,16000.0,0.00887424972
0,0,17000.0,0.00887424972
0,0,18000.0,0.00887424972
0,0,19000.0,
0,0,20000.0,
0,0,21000.0,0.008274352048
0,0,22000.0,0.008274352048
0,0,23000.0,0.008274352048
0,0,24000.0,
0,0,25000.0,
0,0,26000.0,0.332333679492
0,0,27000.0,0.332333679492
0,0,28000.0,0.332333679492
0,0,29000.0,
0,0,30000.0,
0,0,31000.0,
0,0,32000.0,
0,0,33000.0,
0,0,34000.0,
0,0,35000.0,
0,0,36000.0,
0,0,37000.0,
0,0,38000.0,
0,0,39000.0,
0,0,40000.0,
0,0,41000.0,
0,0,42000.0,
0,0,43000.0,
0,0,44000.0,
0,0,45000.0,
0,0,46000.0,
0,0,47000.0,
0,0,48000.0,
0,0,49000.0,
0,0,50000.0,
0,1,5000.0,
0,1,6000.0,
0,1,7000.0,
0,1,8000.0,
0,1,9000.0,
0,1,10000.0,
0,1,11000.0,
0,1,12000.0,
0,1,13000.0,
0,1,14000.0,
0,1,15000.0,
0,1,16000.0,
0,1,17000.0,
0,1,18000.0,
0,1,19000.0,
0,1,20000.0,
0,1,21000.0,
0,1,22000.0,
0,1,23000.0,
0,1,24000.0,
0,1,25000.0,
0,1,26000.0,
0,1,27000.0,
0,1,28000.0,
0,1,29000.0,
0,1,30000.0,
0,1,31000.0,
0,1,32000.0,
0,1,33000.0,
0,1,34000.0,
0,1,35000.0,
0,1,36000.0,
0,1,37000.0,
0,1,38000.0,
0,1,39000.0,
0,1,40000.0,
0,1,41000.0,
0,1,42000.0,
0,1,43000.0,
0,1,44000.0,
0,1,45000.0,
0,1,46000.0,
0,1,47000.0,
0,1,48000.0,
0,1,49000.0,
0,1,50000.0,
0,2,5000.0,
0,2,6000.0,
0,2,7000.0,
0,2,8000.0,
0,2,9000.0,
0,2,10000.0,
0,2,11000.0,
0,2,12000.0,
0,2,13000.0,
0,2,14000.0,
0,2,15000.0,
0,2,16000.0,
0,2,17000.0,
0,2,18000.0,
0,2,19000.0,
0,2,20000.0,
0,2,21000.0,
0,2,22000.0,
0,2,23000.0,0.036330197354
0,2,24000.0,0.036330197354
0,2,25000.0,0.036330197354
0,2,26000.0,
0,2,27000.0,
0,2,28000.0,
0,2,29000.0,
0,2,30000.0,0.344191951898
0,2,31000.0,0.344191951898
0,2,32000.0,0.344191951898
0,2,33000.0,
0,2,34000.0,
0,2,35000.0,
0,2,36000.0,
0,2,37000.0,
0,2,38000.0,
0,2,39000.0,
0,2,40000.0,
0,2,41000.0,
0,2,42000.0,
0,2,43000.0,
0,2,44000.0,9.123689817066
