rep,host,t,delay_sec
0,0,5000.0,0.42282423782
0,0,6000.0,0.42282423782
0,0,7000.0,0.42282423782
0,0,8000.0,
0,0,9000.0,
0,0,10000.0,
0,0,11000.0,
0,0,12000.0,
0,0,13000.0,0.129525860956
0,0,14000.0,0.129525860956
0,0,15000.0,0.129525860956
0,0,16000.0,
0,0,17000.0,
0,0,18000.0,
0,0,19000.0,
0,0,20000.0,
0,0,21000.0,
0,0,22000.0,
0,0,23000.0,
0,0,24000.0,
0,0,25000.0,
0,0,26000.0,
0,0,27000.0,
0,0,28000.0,
0,0,29000.0,3.089556017785
0,0,30000.0,3.089556017785
0,0,31000.0,3.089556017785
0,0,32000.0,
0,0,33000.0,0.052342012051
0,0,34000.0,0.052342012051
0,0,35000.0,0.052342012051
0,0,36000.0,
0,0,37000.0,
0,0,38000.0,
0,0,39000.0,
0,0,40000.0,
0,0,41000.0,
0,0,42000.0,
0,0,43000.0,
0,0,44000.0,
0,0,45000.0,
0,0,46000.0,
0,0,47000.0,0.095327856868
0,0,48000.0,0.095327856868
0,0,49000.0,0.095327856868
0,0,50000.0,
0,1,5000.0,0.322472034748
0,1,6000.0,0.322472034748
0,1,7000.0,0.322472034748
0,1,8000.0,
0,1,9000.0,
0,1,10000.0,0.050899344567
0,1,11000.0,0.050899344567
0,1,12000.0,0.050899344567
0,1,13000.0,
0,1,14000.0,
0,1,15000.0,0.031905102592
0,1,16000.0,0.031905102592
0,1,17000.0,0.031905102592
0,1,18000.0,
0,1,19000.0,
0,1,20000.0,0.092029210488
0,1,21000.0,0.092029210488
0,1,22000.0,0.092029210488
0,1,23000.0,0.027684207895
0,1,24000.0,0.027684207895
0,1,25000.0,0.027684207895
0,1,26000.0,
0,1,27000.0,
0,1,28000.0,0.109330765935
0,1,29000.0,0.109330765935
0,1,30000.0,0.109330765935
0,1,31000.0,
0,1,32000.0,0.045933002964
0,1,33000.0,0.045933002964
0,1,34000.0,0.045933002964
0,1,35000.0,
0,1,36000.0,
0,1,37000.0,
0,1,38000.0,
0,1,39000.0,
0,1,40000.0,
0,1,41000.0,
0,1,42000.0,0.16440070157
0,1,43000.0,0.16440070157
0,1,44000.0,0.16440070157
0,1,45000.0,0.030803818809
0,1,46000.0,0.030803818809
0,1,47000.0,0.030803818809
0,1,48000.0,
0,1,49000.0,0.031838999075
0,1,50000.0,0.031838999075
0,2,5000.0,
0,2,6000.0,
0,2,7000.0,
0,2,8000.0,
0,2,9000.0,
0,2,10000.0,
0,2,11000.0,0.086069877307
0,2,12000.0,0.086069877307
0,2,13000.0,0.086069877307
0,2,14000.0,
0,2,15000.0,0.023725456685
0,2,16000.0,0.023725456685
0,2,17000.0,0.023725456685
0,2,18000.0,
0,2,19000.0,
0,2,20000.0,0.017256473568
0,2,21000.0,0.017256473568
0,2,22000.0,0.017256473568
0,2,23000.0,0.03753144769
0,2,24000.0,0.03753144769
0,2,25000.0,0.03753144769
0,2,26000.0,
0,2,27000.0,0.034560785253
0,2,28000.0,0.034560785253
0,2,29000.0,0.034560785253
0,2,30000.0,
0,2,31000.0,0.007833702795
0,2,32000.0,0.007833702795
0,2,33000.0,0.007833702795
0,2,34000.0,0.008213511641
0,2,35000.0,0.008213511641
0,2,36000.0,0.008213511641
0,2,37000.0,
0,2,38000.0,
0,2,39000.0,0.026695946597
0,2,40000.0,0.026695946597
0,2,41000.0,0.026695946597
0,2,42000.0,0.014331305466
0,2,43000.0,0.014331305466
0,2,44000.0,0.014331305466
0,2,45000.0,
0,2,46000.0,
0,2,47000.0,0.012177035407
0,2,48000.0,0.012177035407
0,2,49000.0,0.012177035407
0,2,50000.0,
0,4,5000.0,0.013436838184
0,4,6000.0,0.013436838184
0,4,7000.0,0.013436838184
0,4,8000.0,
0,4,9000.0,0.008213309615
0,4,10000.0,0.008213309615
0,4,11000.0,0.008213309615
0,4,12000.0,
0,4,13000.0,0.008453509132
0,4,14000.0,0.008453509132
0,4,15000.0,0.008453509132
0,4,16000.0,0.018921717939
0,4,17000.0,0.018921717939
0,4,18000.0,0.018921717939
0,4,19000.0,0.008533940788
0,4,20000.0,0.008533940788
0,4,21000.0,0.008533940788
0,4,22000.0,
0,4,23000.0,0.007674266737
0,4,24000.0,0.007674266737
0,4,25000.0,0.007674266737
0,4,26000.0,
0,4,27000.0,
0,4,28000.0,0.091375652366
0,4,29000.0,0.091375652366
0,4,30000.0,0.091375652366
0,4,31000.0,
0,4,32000.0,
0,4,33000.0,
0,4,34000.0,
0,4,35000.0,
0,4,36000.0,
0,4,37000.0,
0,4,38000.0,
0,4,39000.0,
0,4,40000.0,
0,4,41000.0,
0,4,42000.0,
0,4,43000.0,
0,4,44000.0,
0,4,45000.0,3.040787968307
0,4,46000.0,3.040787968307
0,4,47000.0,3.040787968307
0,4,48000.0,
